20,4,1.505862
21,3,1.517759
22,2,1.503967
23,3,1.525944
24,3,1.596781
25,3,1.646604
26,4,1.641587
27,2,1.670219
28,4,1.745017
29,4,1.730433
30,4,1.729225
31,6,1.716614
32,5,1.758512
33,5,1.824145
34,8,1.440468
35,3,1.906219
36,5,1.491239
37,5,1.854462
38,4,1.865949
39,4,1.880815
40,4,1.894586
41,7,1.997111
42,5,2.024667
43,7,1.936192
44,4,1.964925
45,21,1.641119
46,8,2.034979
47,8,2.052010
48,2,1.984483
49,6,2.134547
50,11,2.048737
51,7,2.123287
52,3,2.140244
53,9,2.104919
54,6,2.134753
55,7,2.116833
56,6,2.176282
57,12,2.198421
58,19,2.192942
59,18,2.086556
60,17,2.289502
61,17,1.940865
62,4,2.157610
63,4,2.036257
64,5,2.346860
65,19,2.259854
66,8,2.257668
67,16,2.138892
68,10,2.384253
69,6,2.216698
70,7,2.290190
71,21,1.913930
72,11,2.331349
73,13,1.724559
74,6,2.257470
75,13,2.366385
76,13,2.394955
77,10,2.385639
78,22,2.279847
79,22,2.412674
80,20,2.376880
81,15,1.785946
82,12,2.444074
83,4,2.457815
84,10,2.132127
85,13,2.418062
86,21,2.352191
87,18,2.322767
88,18,1.649487
89,8,2.357512
90,10,2.040955
91,12,2.346075
92,23,2.493624
93,13,2.493017
94,8,2.281170
95,12,2.495733
96,8,2.365041
97,24,2.429599
98,7,2.258423
99,8,2.266472
100,20,0.871635
