20,2,1.472479,57.987853, 0.025393
21,2,1.545696,59.602605, 0.025933
22,2,1.549854,58.644682, 0.026428
23,5,1.508525,58.339940, 0.025857
24,3,1.547178,57.885607, 0.026728
25,3,1.599161,60.706991, 0.026342
26,4,1.634415,59.261396, 0.027580
27,4,1.651520,59.948866, 0.027549
28,2,1.730505,61.706323, 0.028044
29,3,1.724766,61.127509, 0.028216
30,5,1.701264,61.506306, 0.027660
31,7,1.771827,61.879317, 0.028634
32,6,1.841884,63.122330, 0.029180
33,4,1.772481,63.173581, 0.028057
34,4,1.908975,64.128267, 0.029768
35,8,1.857314,63.359255, 0.029314
36,7,1.879320,63.551259, 0.029572
37,10,1.757719,7.290327, 0.241103
38,8,1.908835,63.504857, 0.030058
39,6,1.934582,62.821999, 0.030795
40,5,1.868501,61.966178, 0.030154
41,8,1.938751,64.223907, 0.030187
42,8,1.994375,64.510157, 0.030916
43,9,1.644224,3.332193, 0.493436
44,22,2.036922,64.407466, 0.031626
45,6,2.058334,65.074451, 0.031630
46,5,1.693802,2.568989, 0.659326
47,8,2.020629,64.934340, 0.031118
48,6,2.072338,64.756519, 0.032002
49,8,1.982465,63.591491, 0.031175
50,11,2.008028,64.625833, 0.031072
51,5,2.105193,64.943969, 0.032416
52,10,1.696094,8.575027, 0.197795
53,8,2.115891,64.433382, 0.032838
54,5,2.227758,66.993597, 0.033253
55,9,2.033240,5.824932, 0.349058
56,3,2.002627,63.213027, 0.031681
57,7,2.130323,64.376127, 0.033092
58,18,1.881192,2.519217, 0.746737
59,12,2.106641,63.007569, 0.033435
60,3,2.198156,65.496361, 0.033561
