20,2,1.509594
21,3,1.462860
22,3,1.507790
23,2,1.526596
24,3,1.645946
25,4,1.677378
26,4,1.547777
27,3,1.679995
28,4,1.719836
29,3,1.769329
30,3,1.712330
31,3,1.767603
32,11,1.557127
33,26,1.823449
34,26,1.788624
35,3,1.838655
36,26,1.875019
37,26,1.836452
38,4,1.878748
39,3,1.973556
40,26,1.979967
41,26,1.951000
42,26,2.006959
43,26,2.067338
44,26,2.024832
45,26,1.962652
46,26,1.978299
47,26,1.954374
48,26,2.080063
49,26,2.108651
50,10,1.793317
51,26,2.191834
52,26,2.194273
53,26,2.008459
54,26,2.137025
55,26,2.096714
56,26,2.154832
57,26,2.226211
58,10,2.266050
59,26,2.220351
60,26,2.125891
61,26,2.251864
62,26,2.241919
63,26,2.193423
64,26,2.269312
65,26,2.259687
66,26,2.287125
67,26,2.420010
68,26,2.262552
69,18,2.373906
70,26,2.358826
71,26,2.333333
72,26,2.314887
73,26,2.174260
74,26,2.349192
75,26,2.378974
76,26,2.333934
77,26,2.353222
78,26,2.341962
79,26,2.457645
80,26,2.379266
81,26,2.441760
82,26,2.314363
83,26,2.574635
84,26,2.395349
85,26,2.443953
86,26,2.406877
87,26,2.637147
88,26,2.457192
89,26,2.351548
90,26,2.584201
91,26,2.570876
92,26,2.569313
93,26,2.499971
94,26,2.422563
95,26,2.330546
96,26,2.614973
97,26,2.573652
98,26,2.441761
99,26,2.360312
