20,4,1.460795,58.622915,0.024919,1.918528,1.000000
21,2,1.545835,60.009462,0.025760,1.916847,1.442487
22,3,1.494536,57.131525,0.026160,1.798224,1.395025
23,2,1.508540,56.189043,0.026848,1.924844,1.000000
24,4,1.629770,60.076771,0.027128,1.914315,1.375020
25,3,1.580398,58.730586,0.026909,2.127860,1.000000
26,5,1.601470,59.721000,0.026816,2.037794,1.000000
27,3,1.692771,63.085507,0.026833,2.091883,1.426234
28,3,1.703124,60.406333,0.028194,2.062580,1.480833
29,3,1.743608,62.742394,0.027790,2.159834,1.407533
30,3,1.740062,60.174086,0.028917,2.052388,1.396690
31,6,1.819043,62.253092,0.029220,2.076615,1.402327
32,5,1.856691,64.003003,0.029009,2.189925,1.365046
33,4,1.809775,61.952204,0.029212,2.042104,1.496521
34,7,1.866718,63.315388,0.029483,2.304724,1.660206
35,4,1.827920,61.376049,0.029782,2.351646,1.369901
36,3,1.867635,63.782955,0.029281,2.317023,1.379433
37,6,1.846087,60.899319,0.030314,2.170453,1.330214
38,5,1.926652,62.729089,0.030714,2.142514,1.523881
39,6,1.779261,59.659488,0.029824,2.002097,1.339274
40,3,1.898652,62.791088,0.030238,2.346770,1.562309
41,11,1.989434,65.807145,0.030231,2.411640,1.595533
42,9,1.924686,63.075844,0.030514,2.335141,1.639209
43,4,1.985827,65.578440,0.030282,2.474135,1.577792
44,14,1.972170,62.804214,0.031402,2.388600,1.541423
45,4,1.819475,59.605960,0.030525,2.330543,1.228611
46,4,2.018196,63.846344,0.031610,2.318612,1.374657
47,7,1.993602,63.820575,0.031238,2.445169,1.655232
48,12,2.026340,62.397315,0.032475,2.352737,1.631955
49,10,2.065456,65.061387,0.031746,2.302926,1.712437
50,20,1.623214,4.017029,0.404083,2.460418,1.000000
51,15,1.820451,7.578456,0.240214,2.734067,1.000000
52,3,2.064573,64.038147,0.032240,2.464902,1.379719
53,14,1.774060,2.287659,0.775491,2.356993,1.000000
54,5,2.100971,64.683842,0.032481,2.511839,1.557769
55,22,2.130747,65.210628,0.032675,2.495315,1.584926
56,20,2.256445,66.301631,0.034033,2.547471,1.838044
57,6,2.289267,67.746192,0.033792,2.557075,1.888483
58,5,2.093191,64.144257,0.032633,2.589694,1.607855
59,6,2.199800,66.918990,0.032873,2.650399,1.692990
60,12,2.311638,67.557497,0.034217,2.575585,1.827233
61,4,2.310743,68.046059,0.033959,2.884685,1.726514
62,6,2.115793,63.743023,0.033193,2.822810,1.698230
63,15,2.262287,65.811537,0.034375,2.701999,1.880211
64,14,2.273361,64.975846,0.034988,2.655870,1.526813
65,15,2.272061,67.142016,0.033840,2.712944,1.759159
66,11,2.270012,66.047576,0.034369,2.685647,1.742849
67,16,1.803923,4.640102,0.388768,2.992720,1.000000
68,8,2.329575,66.979594,0.034780,2.742899,1.774402
69,18,2.339809,69.867094,0.033489,2.727688,1.805383
70,14,2.495855,69.789400,0.035763,2.811909,2.138909
71,12,1.737890,4.855831,0.357898,2.687050,1.000000
72,19,2.324150,67.179115,0.034596,2.841400,1.878467
73,12,2.210550,64.966910,0.034026,2.588032,1.740898
74,16,2.210837,65.178970,0.033919,2.484139,1.694957
75,14,2.347998,65.425484,0.035888,2.666434,1.875601
76,13,2.452058,67.588356,0.036279,2.740564,1.701771
77,22,2.496627,67.403668,0.037040,2.735174,2.043854
78,19,2.288009,67.323311,0.033985,3.012800,1.534260
79,15,2.420071,69.126522,0.035009,2.923894,1.775004
80,7,2.490975,68.664479,0.036277,2.930107,2.077721
